SR;Libellé SR;SR Long;Etablissement;Libellé Etab.;Etab. Long;RG (SR);Libellé RG (SR);RG Long (SR);Code BUIN;Libellé BUIN;BUIN Long
PNC;CHANTIER GARE DE PORNIC;PNC-CHANTIER GARE DE PORNIC;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
SUD;CHANTIER GARE DE SAUMUR;SUD-CHANTIER GARE DE SAUMUR;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
NB;UP BLOTTEREAU;NB-UP BLOTTEREAU;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;1169;PROD MAINT TC PDL A BL TER PDL;01169-PROD MAINT TC PDL A BL TER PDL;32725;UP BLOTTEREAU;32725-UP BLOTTEREAU
CHU;GARE DE CHATEAUBRIANT;CHU-GARE DE CHATEAUBRIANT;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;-;-;-
NSG;CHANTIER GARE DE NANTES;NSG-CHANTIER GARE DE NANTES;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
NTT;NANTES TRAM TRAIN;NTT-NANTES TRAM TRAIN;390112;ETABLISSEMENT TER DES PAYS DE LA LOIRE;390112-ETABLISSEMENT TER DES PAYS DE LA LOIRE;-;-;-;-;-;-
SGV;CHANTIER GARE DE SAINT GILLES CROIX DE VIE;SGV-CHANTIER GARE DE SAINT GILLES CROIX DE VIE;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
LMZ;LE MANS DEMANTELEMENT;LMZ-LE MANS DEMANTELEMENT;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;57377;Technic Pays Loire transforma;57377-Technic Pays Loire transforma;-;-;-
CHT;CHANTIER GARE DE CHOLET;CHT-CHANTIER GARE DE CHOLET;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
LM;TECHNICENTRE PAYS DE LA LOIRE;LM-TECHNICENTRE PAYS DE LA LOIRE;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;1169;PROD MAINT TC PDL A BL TER PDL;01169-PROD MAINT TC PDL A BL TER PDL;NR;Non Renseigné;NR-Non Renseigné
ASL;CHANTIER D'ANGERS SAINT LAUD;ASL-CHANTIER D'ANGERS SAINT LAUD;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
SNZ;CHANTIER GARE DE SAINT NAZAIRE;SNZ-CHANTIER GARE DE SAINT NAZAIRE;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
NN;UO NANTES;NN-UO NANTES;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;1170;PROD MAINT TC PDL V MO TER PDL;01170-PROD MAINT TC PDL V MO TER PDL;32226;UO NANTES;32226-UO NANTES
LAL;CHANTIER GARE DE LAVAL;LAL-CHANTIER GARE DE LAVAL;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
CHY;CHANTIER GARE DE CHANTENAY;CHY-CHANTIER GARE DE CHANTENAY;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;1333;PROD MAINT TC PDL Chtay AXE A;01333-PROD MAINT TC PDL Chtay AXE A;32226;UO NANTES;32226-UO NANTES
LRY;LA ROCHE SUR YON;LRY-LA ROCHE SUR YON;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
LCC;CHANTIER GARE LE CROISIC;LCC-CHANTIER GARE LE CROISIC;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
DLN;UP TRAM TRAIN DE DOULON;DLN-UP TRAM TRAIN DE DOULON;390112;ETABLISSEMENT TER DES PAYS DE LA LOIRE;390112-ETABLISSEMENT TER DES PAYS DE LA LOIRE;1857;PRD MAIN TC PDL DOULON TER PDL;01857-PRD MAIN TC PDL DOULON TER PDL;32730;UP TRAM TRAIN DE DOULON;32730-UP TRAM TRAIN DE DOULON
LMN;CHANTIER DU MANS;LMN-CHANTIER DU MANS;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;1169;PROD MAINT TC PDL A BL TER PDL;01169-PROD MAINT TC PDL A BL TER PDL;32220;CHANTIER DU MANS;32220-CHANTIER DU MANS
LSO;CHANTIER GARE LES SABLES D'OLONNE;LSO-CHANTIER GARE LES SABLES D'OLONNE;322206;TECHNICENTRE PAYS DE LA LOIRE;322206-TECHNICENTRE PAYS DE LA LOIRE;-;-;-;NR;Non Renseigné;NR-Non Renseigné
