Id Op. Réf;Opération Réf;Description Op. Réf;Version PMS Op.Réf;Version PMS en cours;Type d'Opération Part/Service;Cycle;STF / Opé. Part.;Statut Op. Réf;LCN Racine Op. Réf;LCN Article Op. Réf;Référence document Maintenance;Rang;Date début applicabilité Op. Réf;Date fin applicabilité Op. Réf;SEF;Cadence Op. Réf;Type Op. Réf;Libellé Type Op. Réf;Nb Référentiels Applicables;Déclinaison MR;Récapitulatif(Nb Référentiels Applicables)
86719;S0002;Veille sur les codes défauts;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86720;VIC--;VIC;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 090;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86721;MIPKf;Module Inventaire Passerelle Kilomètre f;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86722;MITJ1;Module Inventaire Terre plein non couvert Jour 1;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86723;MITJ2;Module Inventaire Terre plein non couvert Jour 2;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86724;MITJ4;Module Inventaire Terre plein non couvert Jour 4;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86725;MIPJd;Module Inventaire Passerelle Jour d;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86726;MIPK7;Module Inventaire Passerelle Kilomètre 7;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86727;MIPKe;Module Inventaire Passerelle Kilomètre e;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86728;MIFKb;Module Inventaire Fosse Kilomètre b;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;VF1 502;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86729;MIFKa;Module Inventaire Fosse Kilomètre a;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;VF1 502;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86730;MIPJ2;Module inventaire Passerelle Jour 2;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86731;MIFKc;Module Inventaire Fosse Kilomètre c;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;VS7 004;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86732;P9YK-;ATP 9 ANS FREIN Disque;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86733;P9YJ-;ATP 9 ANS BFC Organique;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86734;P9YM-;ATP 9 ANS BFC;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86735;P9YL-;ATP 9 ANS BFC Fonte;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86736;S0001;Vidange de rodage des réducteurs;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86737;P9YE-;ATP 9 ANS FREIN SC1;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86738;P9YH-;ATP 9 ANS FREIN 2;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86739;P9YI-;ATP 9 ANS FREIN 3;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86740;P9YF-;ATP 9 ANS FREIN 1;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86741;P9YG-;ATP 9 ANS FEM;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86742;MIFK6;Module Inventaire Fosse Kilomètre 6;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86743;MIFK9;Module Inventaire Fosse Kilomètre 9;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86744;MIDSC;Module Inventaire Double installation Saison Chaude;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86745;MIDSF;Module Inventaire Double installation Saison Froide;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86746;MIDK5;Module Inventaire Double installation Kilomètre 5;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86747;MIDKg;Module Inventaire Double installation Kilomètre g;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86748;MIDK1;Module Inventaire Double installation Kilomètre 1;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86749;MIDJ3;Module Inventaire Double installation Jour 3;A.51;N;-;MODULAIRE;-;DESACTIVE;PHZ;PHZ;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86750;GT5--;CORRECTIF : CVS;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZHB;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86751;GT08-;CORRECTIF : Moteur;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZFD02;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86752;GS651;CORRECTIF : Compteur Energie;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZGF02;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86753;P9YB-;ATP 9 ANS FREIN SC 2;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86754;P9YA-;ATP 9 ANS CLIM CAB VT TA;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86755;P7YC-;ATP 7 ANS L3M2 Modules;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86756;P7YB-;ATP 7 ANS L3M2 Filtres;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86757;P9YD-;ATP 9 ANS FREIN PF1;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86758;P9YC-;ATP 9 ANS FREIN PAUX1;A.51;N;-;REVISION;-;DESACTIVE;PHZ;PHZ;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86759;GR02-;CORRECTIF : Bogie;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZEB01;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86760;GR11-;CORRECTIF : Essieu;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZEC01;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86761;GR11R;CORRECTIF : Reprofilage Essieu;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZEC01;ITM 40 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86762;GR2--;CORRECTIF : 1/2 accouplement (côté réducteur ou moteur);A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZEC01;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86763;GS59-;CORRECTIF : Ecran STM;A.51;N;-;CORRECTIF;-;DESACTIVE;PHZ;PHZJD03;Non renseignée;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
86764;OS651;Echange Organe Compteur Energie 25kV;A.51;N;-;ORGANES;-;DESACTIVE;PHZ;PHZGF02;ITM 45 070;1;22/01/2014 00:00;;-;-;M;Opération de Maintenance;1;Non Renseigné;
